href,Language
actionscript,"ActionScript"
ada,"Ada"
agda,"Agda"
apl,"APL"
assembler,"Assembler"
awk,"AWK"
c,"C"
c-3,"C#"
c-2,"C++"
clojure,"Clojure"
cobol,"Cobol"
common-lisp,"Common Lisp"
coq,"Coq"
d,"D"
delphi,"Delphi"
eiffel,"Eiffel"
elisp,"ELisp"
erlang,"Erlang"
f,"F#"
factor,"Factor"
forth,"Forth"
fortran,"Fortran"
go,"Go"
groovy,"Groovy"
haskell,"Haskell"
haxe,"Haxe"
io,"Io"
j,"J"
java,"Java"
javascript,"Javascript"
lua,"Lua"
mathematica,"Mathematica"
matlab,"Matlab"
mozart-oz,"Mozart-Oz"
objective-c,"Objective C"
o-caml,"O'Caml"
pascal,"Pascal"
perl,"Perl"
php,"PHP"
prolog,"Prolog"
python,"Python"
r,"R"
rebol,"REBOL"
ruby,"Ruby"
scala,"Scala"
scheme,"Scheme"
shell,"Shell"
smalltalk,"Smalltalk"
standard-ml,"Standard ML"
tcl,"TCL"
visual-basic,"Visual Basic"
