href,Statement
i-know-this-language-well,"I know this language well"
i-enjoy-using-this-language,"I enjoy using this language"
i-regularly-use-this-language,"I regularly use this language"
i-find-it-easy-to-write-efficient-code-in-this-lan,"I find it easy to write efficient code in this language"
i-find-this-language-easy-to-prototype-in,"I find this language easy to prototype in"
when-i-write-code-in-this-language-i-can-be-very-s,"When I write code in this language I can be very sure it is correct"
i-rarely-have-difficulty-abstracting-patterns-i-fi,"I rarely have difficulty abstracting patterns I find in my code"
it-s-unusual-for-me-to-discover-unfamiliar-feature,"It's unusual for me to discover unfamiliar features"
i-usually-use-this-language-on-solo-projects,"I usually use this language on solo projects"
i-usually-use-this-language-on-projects-with-many-,"I usually use this language on projects with many other members"
i-would-use-this-language-for-a-web-project,"I would use this language for a web project"
i-would-use-this-language-for-a-desktop-gui-projec,"I would use this language for a desktop GUI project"
i-would-use-this-language-for-mobile-applications,"I would use this language for mobile applications"
i-would-use-this-language-for-casual-scripting,"I would use this language for casual scripting"
it-is-easy-to-tell-at-a-glance-what-code-in-this-l,"It is easy to tell at a glance what code in this language does"
i-find-code-written-in-this-language-very-elegant,"I find code written in this language very elegant"
code-written-in-this-language-tends-to-be-terse,"Code written in this language tends to be terse"
code-written-in-this-language-tends-to-be-verbose,"Code written in this language tends to be verbose"
there-is-a-lot-of-accidental-complexity-when-writi,"There is a lot of accidental complexity when writing code in this language"
this-language-allows-me-to-write-programs-where-i-,"This language allows me to write programs where I know exactly what they are doing under the hood"
this-is-a-high-level-language,"This is a high level language"
this-is-a-low-level-language,"This is a low level language"
this-language-has-a-strong-static-type-system,"This language has a strong static type system"
this-language-is-very-flexible,"This language is very flexible"
this-language-has-a-very-rigid-idea-of-how-things-,"This language has a very rigid idea of how things should be done"
this-language-has-a-niche-in-which-it-is-great,"This language has a niche in which it is great"
this-language-has-a-niche-outside-of-which-i-would,"This language has a niche outside of which I would not use it"
i-would-use-this-language-to-write-a-command-line-,"I would use this language to write a command-line app"
this-language-is-good-for-scientific-computing,"This language is good for scientific computing"
this-language-is-expressive,"This language is expressive"
writing-code-in-this-language-is-a-lot-of-work,"Writing code in this language is a lot of work"
i-can-imagine-using-this-language-in-my-day-job,"I can imagine using this language in my day job"
this-language-excels-at-symbolic-manipulation,"This language excels at symbolic manipulation"
this-language-excels-at-text-processing,"This language excels at text processing"
this-language-excels-at-concurrency,"This language excels at concurrency"
this-language-is-well-documented,"This language is well documented"
the-resources-for-learning-this-language-are-of-hi,"The resources for learning this language are of high quality"
this-language-has-a-good-community,"This language has a good community"
third-party-libraries-are-readily-available-well-d,"Third-party libraries are readily available, well-documented, and of high quality"
there-is-a-wide-variety-of-open-source-code-writte,"There is a wide variety of open source code written in this language"
when-i-run-into-problems-my-colleagues-can-provide,"When I run into problems my colleagues can provide me with immediate help with this language"
programs-written-in-this-language-will-usually-wor,"Programs written in this language will usually work in future versions of the language"
this-language-has-a-wide-variety-of-agreed-upon-co,"This language has a wide variety of agreed-upon conventions, which are generally adhered to reasonably well, and which increase my productivity"
code-written-in-this-language-tends-to-be-very-rel,"Code written in this language tends to be very reliable"
code-written-in-this-language-is-very-readable,"Code written in this language is very readable"
this-language-is-best-for-very-large-projects,"This language is best for very large projects"
this-language-is-best-for-very-small-projects,"This language is best for very small projects"
this-language-is-good-for-beginners,"This language is good for beginners"
this-language-is-unusually-bad-for-beginners,"This language is unusually bad for beginners"
learning-this-language-improved-my-ability-as-a-pr,"Learning this language improved my ability as a programmer"
i-enjoy-playing-with-this-language-but-would-never,"I enjoy playing with this language but would never use it for &quot;real code&quot;"
i-use-many-applications-written-in-this-language,"I use many applications written in this language"
this-language-has-a-very-dogmatic-community,"This language has a very dogmatic community"
it-is-easy-to-debug-programs-written-in-this-langu,"It is easy to debug programs written in this language when it goes wrong"
there-are-many-good-tools-for-this-language,"There are many good tools for this language"
there-are-many-good-open-source-tools-for-this-lan,"There are many good open-source tools for this language"
there-are-many-good-commercial-tools-for-this-lang,"There are many good commercial tools for this language"
programs-written-in-this-language-tend-to-play-wel,"Programs written in this language tend to play well with others"
i-would-like-to-write-more-of-this-language-than-i,"I would like to write more of this language than I currently do"
i-would-use-this-language-for-writing-server-progr,"I would use this language for writing server programs"
this-language-is-good-for-distributed-computing,"This language is good for distributed computing"
programs-written-in-this-language-tend-to-be-effic,"Programs written in this language tend to be efficient"
i-know-many-other-people-who-use-this-language,"I know many other people who use this language"
i-often-write-things-in-this-language-with-the-int,"I often write things in this language with the intent of rewriting them in something else later"
this-language-is-good-for-numeric-computing,"This language is good for numeric computing"
this-language-is-suitable-for-real-time-applicatio,"This language is suitable for real-time applications"
i-am-sometimes-embarrassed-to-admit-to-my-peers-th,"I am sometimes embarrassed to admit to my peers that I know this language"
it-is-too-easy-to-write-code-in-this-language-that,"It is too easy to write code in this language that looks like it does one thing but actually does something else"
if-this-language-didn-t-exist-i-would-have-trouble,"If this language didn't exist, I would have trouble finding a satisfactory replacement"
this-language-is-frequently-used-for-applications-,"This language is frequently used for applications it isn't suitable for"
this-language-has-well-organized-libraries-with-co,"This language has well-organized libraries with consistent, carefully thought-out interfaces"
i-can-imagine-this-will-be-a-popular-language-in-t,"I can imagine this will be a popular language in twenty years time"
the-thought-that-i-may-still-be-using-this-languag,"The thought that I may still be using this language in twenty years time fills me with dread"
i-would-use-this-language-for-writing-programs-for,"I would use this language for writing programs for an embedded hardware platform"
i-would-use-this-language-as-a-scripting-language-,"I would use this language as a scripting language embedded inside a larger application"
this-language-has-unusual-features-that-i-often-mi,"This language has unusual features that I often miss when using other languages"
this-language-is-likely-to-have-a-strong-influence,"This language is likely to have a strong influence on future languages"
this-language-is-likely-to-be-a-passing-fad,"This language is likely to be a passing fad"
i-would-list-this-language-on-my-resume,"I would list this language on my resume"
i-am-reluctant-to-admit-to-knowing-this-language,"I am reluctant to admit to knowing this language"
developers-who-primarily-use-this-language-often-b,"Developers who primarily use this language often burn out after a few years"
this-language-is-likely-to-be-around-for-a-very-lo,"This language is likely to be around for a very long time"
this-language-has-a-very-coherent-design,"This language has a very coherent design"
this-language-is-built-on-a-small-core-of-orthogon,"This language is built on a small core of orthogonal features"
this-language-is-minimal,"This language is minimal"
this-language-is-large,"This language is large"
this-language-has-many-features-which-feel-tacked-,"This language has many features which feel &quot;tacked on&quot;"
i-still-discover-new-features-of-this-language-on-,"I still discover new features of this language on a fairly regular basis"
i-use-this-language-out-of-choice,"I use this language out of choice"
this-language-makes-it-easy-to-shoot-yourself-in-t,"This language makes it easy to shoot yourself in the foot"
this-language-has-a-high-quality-implementation,"This language has a high quality implementation"
i-learned-this-language-early-in-my-career-as-a-pr,"I learned this language early in my career as a programmer"
this-language-encourages-writing-code-that-is-easy,"This language encourages writing code that is easy to maintain."
this-language-encourages-writing-reusable-code,"This language encourages writing reusable code."
learning-this-language-significantly-changed-how-i,"Learning this language significantly changed how I use other languages."
the-semantics-of-this-language-are-much-different-,"The semantics of this language are much different than other languages I know."
if-my-code-in-this-language-successfully-compiles-,"If my code in this language successfully compiles, there is a good chance my code is correct."
this-language-has-a-good-library-distribution-mech,"This language has a good library distribution mechanism."
libraries-in-this-language-tend-to-be-well-documen,"Libraries in this language tend to be well documented."
code-written-in-this-language-will-usually-run-in-,"Code written in this language will usually run in all the major implementations if it runs in one of them."
this-language-matches-it-s-problem-domain-particul,"This language matches it's problem domain particularly well."
this-language-is-easier-to-use-for-it-s-problem-do,"This language is easier to use for it's problem domain by removing unneeded expressiveness (such as not being Turing complete)."
this-language-would-be-good-for-teaching-children-,"This language would be good for teaching children to write software"
this-language-is-well-suited-for-an-agile-developm,"This language is well suited for an agile development approach using short iterations."
i-would-recommend-most-programmers-learn-this-lang,"I would recommend most programmers learn this language, regardless of whether they have a specific need for it"
this-is-a-mainstream-language,"This is a mainstream language"
this-language-has-an-annoying-syntax,"This language has an annoying syntax"
i-often-feel-like-i-am-not-smart-enough-to-write-t,"I often feel like I am not smart enough to write this language"
i-use-a-lot-of-code-written-in-this-language-which,"I use a lot of code written in this language which I really don't want to have to make changes to"
i-often-get-angry-when-writing-code-in-this-langua,"I often get angry when writing code in this language"
